adm0_name;iso3;X;Y;published;sources;info;optional1;optional2;optional3;ObjectId;Restrictions;Priority level
Abyei;SDN, SSD;28.415755;9.786952;;;;;;;1;Unknown;Unknown
Afghanistan;AFG;66.026881;33.831602;21.05.2021;"<a href=""https://www.gov.uk/foreign-travel-advice/afghanistan"">Foreign travel advice, Gov.UK</a>/ 
  <a href=""https://af.usembassy.gov/covid-19-information/"">US State Dept. COVID-19 Country Specific Information</a>/
  <a href=""https://moph.gov.af/en/all-news"">Ministry of Public Health</a>/";"Latest News: !!!
 <br>
  <br>
International Restrictions:<br>
*Entry to Afghanistan: The <a href=""https://www.iatatravelcentre.com/world.php"">IATA</a> now states that a negative pre-departure COVID-19 PCR test result is required for entering Afghanistan. Travellers are advised to check with their travel provider and follow individual airline requirements on this. <br>
*Testing on arrival: There is currently no testing on arrival. <br>
*Quarantine requirements: There are currently no compulsory quarantine requirements or temperature checks at the airports. <br>
*Data collection: Visitors will be asked to complete a landing form detailing their visit, including passport and visa information, as is standard practice in many other countries. <br>
*Testing on departure: Many airlines currently require passengers to present a COVID-19 negative certificate in order to travel out of Afghanistan. Please note some airline pre-departure test timings (96 hours) for Afghanistan departures/arrivals may be different to the point of arrival (often 72 hours). Contact your airline or travel provider for details of local test centres and procedures.
 <br>
  <br>
Internal Restrictions: <br>
*Travel in Afghanistan: Travel in Afghanistan is dangerous and if you’re travelling, including in Kabul, you should seek professional security advice and continually reassess your personal security. There are only minor COVID-19 related restrictions on internal travel. Specific measures vary between provinces and domestic flights are operating on a limited basis. <br>
*Accommodation: Most hotels and restaurants are open and have been instructed to follow COVID-19 guidelines, including asking customers to wear masks. <br>
*Public places and services: Sports and music events, along with bars, cinemas, museums and gyms are all closed. Restaurants and some shops have opened.";20210521;"No declared requirement.<br>

There are currently no compulsory quarantine requirements or temperature checks at the airports.";"COVID-19 negative certification required for entering the country. <br>

The <a href=""https://www.iatatravelcentre.com/world.php"">IATA</a> now states that a negative pre-departure COVID-19 PCR test result is required for entering Afghanistan.";2;"
- **Entry to Afghanistan:** Negative pre-departure COVID-19 PCR test result required for entry.
- **Testing on arrival:** No testing on arrival.
- **Quarantine requirements:** No compulsory quarantine requirements or temperature checks at the airports.
- **Data collection:** Visitors will be asked to complete a landing form detailing their visit, including passport and visa information.
- **Testing on departure:** Many airlines require passengers to present a COVID-19 negative certificate in order to travel out of Afghanistan.
- **Travel in Afghanistan:** Travel in Afghanistan is dangerous, and internal travel has minor COVID-19 related restrictions.
- **Accommodation:** Most hotels and restaurants are open and have been instructed to follow COVID-19 guidelines, including asking customers to wear masks.
- **Public places and services:** Sports and music events, along with bars, cinemas, museums, and gyms are all closed. Restaurants and some shops have opened.
- **COVID-19 negative certification required for entering the country.**";Very High
Akrotiri;xUK;32.923365;34.638024;;;;;;;3;Unknown;Unknown
Aksai Chin;AKS, CHN;79.132432;35.030488;;;;;;;4;Unknown;Unknown
Åland Islands;ALA;19.80946;60.15449;;;;;;;5;Unknown;Unknown
Albania;ALB;20.066643;41.138926;06.05.2021;"<a href=""https://www.gov.uk/foreign-travel-advice/albania"">Foreign travel advice, Gov.UK</a>/ 
  <a href=""https://al.usembassy.gov/updates_covid19/"">US State Dept. COVID-19 Country Specific Information</a>/ 
  <a href=""https://www.osac.gov/Content/Browse/Report?subContentTypes=Alerts%2CTravel%20Advisories"">OSAC Travel Advisories</a>/
 <a href=""https://infocoronavirus2019.al/"">Institute of Public Health</a>/";"Latest news: 
<br>
<br>
International Restrictions:<br>
*Entry rules in response to coronavirus (COVID-19). All land borders are open. However neighbouring countries may have different entry and exit restrictions on their side of the border. You should check before travelling. <br>
Keep up to date with information from your tour operator, transport or accommodation provider on the impact on any existing travel plans. If you need further information about entry requirements, contact the local immigration authorities or the nearest Albanian Embassy/Consulate. You should also check with your airline or travel company for the latest information. <br>
*Quarantine and testing requirements: All travellers entering Albania from Greece and North Macedonia must quarantine at their accommodation for two weeks. <br>
If you are a foreign national travelling to Kosovo from Albania, you will be required to self-isolate for 14 days. If you are a foreign national travelling from Albania and transiting Kosovo you will be asked to sign a declaration and you should leave the country within 3 hours from entering it. A negative RT-PCR test less than 72 hours old is required for all  foreign nationals entering Kosovo from countries with a high number of COVID-19 cases, marked as red or orange (more than 60 cases per 100,000) on the official ECDC map. You should arrange to take a private test. <br>
If you are a foreign national with a Greek, UR or another EU/EFA state (or Australia, New Zealand, South Korea, Thailand, Rwanda, Singapore, United Arab Emirates, Russian Federation and Israel) residence permit and are travelling to Greece from Albania you must complete an online Passenger Locator Form (PLF) (in English) and must provide evidence of a negative result from a PCR test for COVID-19 that has been conducted within the 72 hour period before your arrival time in Greece. If you’re a British national who resides in Albania, you’re likely to be refused entry to Greece due to measures put in place by the Greek authorities to combat the spread of COVID-19. <br>
Foreign nationals who are resident in Albania and are travelling to Montenegro are exempt from the requirement for a test or proof of vaccination, but only if they enter Montenegro from that country and have not travelled elsewhere in the last 14 days. If you are a foreign national travelling to North Macedonia from Albania, there is no requirement to self-isolate or provide a PCR test upon entry to North Macedonia. <br>
 <br>
 <br>
Internal Restrictions:<br>
 *Moving around in Albania: For information on entering Albania, see Entry Requirements. If you’re in Albania, you should adhere to instructions and follow the advice of the local authorities.<br>
The wearing of face masks in public is mandatory. With effect from 12 April, a night time curfew from 10pm to 6am will be in place.<br>
Other than the night-time curfew, there are currently no restrictions on movement within Albania. Public transport and taxis are operating as normal. With effect from 6 May, universities are open for consultations and exams. Elementary and high schools remain open with pupils attending classes physically.<br>
*Public places and businesses: From 12 April, bars and restaurants must close by 10pm as per the curfew. However, delivery services remain available.";20210506;"Self Isolation- subject to origin.<br>

Incoming travelers from Greece and North Macedonia are required to undergo a mandatory quarantine for 14 days. All travellers enering Kosovo from Albania will be required to self-isolate for 14 days.  If you are a foreign national travelling from Albania and transiting Kosovo you will be asked to sign a declaration and you should leave the country within 3 hours from entering it.  If you are a foreign national travelling to North Macedonia from Albania, there is no requirement to self-isolate or provide a PCR test upon entry to North Macedonia.";"COVID-19 negative certification not required / not known.
A negative RT-PCR test less than 72 hours old is required for all  foreign nationals entering Kosovo from countries with a high number of COVID-19 cases, marked as red or orange (more than 60 cases per 100,000) on the official ECDC map";6;"
- **Quarantine and testing requirements:** All travellers entering Albania from Greece and North Macedonia must quarantine at their accommodation for two weeks.
- **Travel restrictions:** Foreign nationals who are resident in Albania and are travelling to Montenegro are exempt from the requirement for a test or proof of vaccination, but only if they enter Montenegro from that country and have not travelled elsewhere in the last 14 days.
- **Public places and businesses:** From 12 April, bars and restaurants must close by 10pm as per the curfew. However, delivery services remain available.
- **Internal restrictions:** The wearing of face masks in public is mandatory. A night-time curfew from 10pm to 6am will be in place, but there are currently no restrictions on movement within Albania. Public transport and taxis are operating as normal. Universities are open for consultations and exams, and elementary and high schools remain open with pupils attending classes physically.";Medium
Algeria;DZA;2.678028;28.157361;07.05.2021;"<a href=""https://www.gov.uk/foreign-travel-advice/algeria"">Foreign travel advice, Gov.UK</a>/ 
  <a href=""https://dz.usembassy.gov/covid-19-information/"">US State Dept. COVID-19 Country Specific Information</a>/
 <a href=""http://covid19.cipalgerie.com/en/"">International Press Centre</a>/
WFP Sources.";"Latest News: Government will impose strict health measures on passengers as international flights partially resume on 1 June (Reuters, 24.05.2021). Government cancels decision to reopen land borders closed because of COVID-19; plan to partially resume international flights will go on (Reuters, 18.05.2021). 
  <br>
  <br>
 International Restrictions: <br>
*Entry to Algeria: Air, land and sea borders remain closed until further notice. You should check with the Algerian authorities for any entry requirements including exemptions. Previously, entry was limited to:<br>
•        Algerian nationals returning on repatriation flights from abroad<br>
•        foreign nationals with diplomatic visas<br>
•        employees of foreign companies operating in Algeria<br>
There was a process set out by the Algerian Ministry of Foreign Affairs relating to requests for authorisation to enter Algeria. If you think you’re eligible to enter Algeria despite all borders being closed, you will need to contact your employer and/or the British Embassy in Algiers for more information on this process.<br>
*Testing/screening on arrival: You should check with the Algerian authorities for any entry requirements including COVID testing. Previous requirements included evidence of a negative PCR test from no more than 72 hours prior to arrival. You should arrange to take a private test.<br>
Temperature checks may be undertaken on arrival.<br>
*Quarantine requirements: Check with the Algerian authorities for any entry requirements including quarantine requirements. Previous quarantine requirements were a compulsory 14-day stay at a state facility, or own accommodation (if diplomatic), or company accommodation (if authorised by the Prime Minister).<br>
*Data collection: Contact details are taken on arrival in country, including address.<br>
*Testing on departure: Temperature checks are taken before entering the airport.<br>
*Leaving Algeria: When exiting Algeria, the Algerian authorities usually require sight of the document you used to enter the country. In the event that your passport was lost or stolen during your stay in Algeria, you will need to present a police report to the border police to show why you are no longer in possession of the passport you used to enter Algeria.
<br><br>
Internal Restrictions: <br>
*Travel in Algeria: Travel between provinces is now permitted though public transport options remain limited. A curfew is in effect from midnight to 4am in 19 provinces including the capital Algiers. The other provinces covered by the curfew are: Adrar, Laghouat, Batna, Bejaia, Blida, Tébessa, Tizi-Ouzou, Jijel, Sétif, Sidi Bel Abbes, Constantine, M’Sila, Ouargla, Oran, Boumerdes, El Oued, Tipaza and Touggourt. <br>
Since 1 July 2020, local authorities nationwide have powers to enact additional measures in cluster areas, with the approval of central authorities. As a result, localised lockdowns are possible, and markets and other areas with a high concentration of shops could be shut down with limited notice for at least 15 days. <br>
All security services and local authorities have been instructed to rigorously monitor and enforce compliance with preventive and other social distancing measures. Penalties include fines up to the equivalent of £600, and 6 months imprisonment. <br>
The wearing of facemasks became mandatory on 24 May 2020 in all public spaces, including when using public transport, and within taxis. <br>
*Accommodation: Some hotels are open, with compulsory sanitary measures in place; facilities may be restricted. There are designated hotels for repatriated Algerians to do the required 14 days quarantine on arrival. <br>
*Public places and services: Mosques, restaurants, parks and cafes were permitted to reopen from 15 August 2020. This is conditional on social distancing and sanitary measures being in place. Mask wearing is obligatory and air conditioning and fans are banned. <br>
Universities began reopening from 23 August 2020 to complete studies from the previous year. The new term began on 15 December 2020. Primary schools opened on 21 October 2020, and middle and high schools reopened on 4 November 2020. There is a ban on gatherings such as marriages and funerals in the 19 provinces under curfew. <br>";20210507;"Quarantine requirement at government designated site or own accomodation.<br>

Check with the Algerian authorities for any entry requirements including quarantine requirements. Previous quarantine requirements were a compulsory 14-day stay at a state facility, or own accommodation (if diplomatic), or company accommodation (if authorised by the Prime Minister). <br>
Diplomatic personnel entering or leaving Algeria are required to present a negative PCR test carried out 72h prior to arrival; and the observation of a period of self-isolation at home for a period subject to the rule of reciprocity (number of days is not mentioned)";"COVID-19 negative certification required for entering the country.<br>

You should check with the Algerian authorities for any entry requirements including COVID testing. Previous requirements included evidence of a negative PCR test from no more than 72 hours prior to arrival. Temperature checks may be undertaken on arrival.<br>
Diplomatic personnel entering or leaving Algeria are required to present a negative PCR test carried out 72h prior to arrival.";7;"
- **Air, land, and sea borders remain closed until further notice.**
- **Mandatory quarantine for all travelers, with few exceptions.**
- **Multiple PCR tests required (before departure, on arrival, after a few days).**
- **Significant domestic travel restrictions (e.g., curfews, interregional travel bans).**
- **Masks mandatory in all public spaces, including outdoors.**
- **Diplomatic personnel entering or leaving Algeria are required to present a negative PCR test carried out 72h prior to arrival and observe a period of self-isolation at home for a period subject to the rule of reciprocity.**
- **Previous requirements included evidence of a negative PCR test from no more than 72 hours prior to arrival.**
- **Temperature checks may be undertaken on arrival.**
- **Diplomatic personnel entering or leaving Algeria are required to present a negative PCR test carried out 72h prior to arrival.**
- **Previous requirements included evidence of a negative PCR test from no more than 72 hours prior to arrival.**
- **Mandatory 14-day stay at a state facility, or own accommodation (if diplomatic), or company accommodation (if authorized by the Prime Minister).**
- **Local authorities nationwide have powers to enact additional measures in cluster areas, with the approval of central authorities.**
- **Localised lockdowns are possible, and markets and other areas with a high concentration of shops could be shut down with limited notice for at least 15 days.**
- **Penalties include";Very High
American Samoa;ASM;-170.71806;-14.300686;29.07.2020;"<a href=""https://www.americansamoa.gov/immigration-info"">American Samoa Immigration</a>/";"Latest News: 
 <br>
 <br>
International Restrictions:<br>
*Travel into American Samoa: To prevent the spread of coronavirus, American Samoa currently requires all non-US passport holders to spend at least 14 days in Hawaii, Samoa (Apia) or Tonga before entering. Other restrictions for those travelling from countries affected by the outbreak could also be in force. If you’re due to travel, check the American Samoa Government <a href=""https://www.americansamoa.gov/"">website</a> and the US Center for Disease Control and Prevention <a href=""https://wwwnc.cdc.gov/travel/destinations/traveler/none/american-samoa?s_cid=ncezid-dgmq-travel-single-001"">website</a>, and check with your airline before leaving. You should also check with your airline or travel agent for any additional information about existing travel bookings.
 <br>
 <br>
Internal Restrictions: <br>
*Travel within American Samoa: Social distancing methods are to be encouraged such as video conferencing, phone calls, emails for communication. All off-island medical referrals to New Zealand are suspended. The option will be considered only for medical emergencies and be at the discretion of LBJ physicians. All public gatherings are suspended until further notice. This includes, but is not limited to, bingo halls, rallies, political events, theaters, traditional gatherings, parks and recreation areas, flight night gatherings, and major sponsored events. Only private family gatherings of no more than ten (10) people will be permitted. DPS is tasked with ensuring that public gatherings disperse. All businesses will only be allowed to operate from 6am to 6pm. Only those businesses that impact food security are exempted from operating hours restrictions. Restaurants, bars, and nightclubs will be limited to no more than ten (10) person occupancy. Businesses are encouraged to keep their facilities sanitized. All drive-thru and takeaway restaurants may remain open until 10:00 pm daily. Further advisories will be issued from the Governor that may adjust restrictions on businesses as necessary. All public transportation services are to cease operations at 6pm except for buses under contract with Starkist to provide transportation for employees of the canneries.During hours of operation, buses and taxis must institute social distancing practices. Each bus and taxi may only operate at half the seating capacity.";20200729;"Quarantine Requirement outside territory. <br>

Citizens holding a non-US passport will be required to quarantine for 14 days in Hawaii, Tonga, or Samoa (Apia) before entering the territory.";COVID-19 negative certification required for entering the country;8;"
- PCR test or vaccination proof required for entry.
- Quarantine required only for unvaccinated travelers or those from high-risk areas.
- Masks mandatory in some public spaces.
- Some restrictions on travelers from specific regions.
- Possible exemptions for business travelers or residents.
- All public gatherings suspended until further notice.
- Businesses limited to 10-person occupancy.
- Restaurants, bars, and nightclubs limited to 10-person occupancy.
- All public transportation services to cease operations at 6pm except for buses under contract with Starkist.
- Each bus and taxi must institute social distancing practices, operating at half the seating capacity.
- Citizens holding non-US passports required to quarantine for 14 days in Hawaii, Tonga, or Samoa (Apia) before entering the territory.
- COVID-19 negative certification required for entering the country.";Medium
Andorra;AND;1.576279;42.545479;31.12.2020;"<a href=""https://www.gov.uk/foreign-travel-advice/andorra"">Foreign travel advice, Gov.UK</a>/ 
  <a href=""https://al.usembassy.gov/updates_covid19/"">US State Dept. COVID-19 Country Specific Information</a>/";"Latest News: 
 <br>
 <br>
International Restrictions: <br>
*Entry rules in response to coronavirus (COVID-19): All travel into Andorra requires transit via neighbouring France or Spain. You should check the entry requirements for each country in conjunction with this travel advice. The Andorran Government advises that people returning to Andorra from the United Kingdom must, in addition, follow the COVID related safety measures outlined below until further notice. 
Those looking to travel to Andorra must obtain a negative PCR or TMA test with result performed within a maximum of 48 hours before departure. Upon arrival in Andorra those arriving from the UK must arrange for a TMA + Rapid Antigen Test. Until the negative result of the first TMA is available, the person must remain in home isolation. Further TMA tests must be carried out on the 5th, 10th and 15th days following arrival. In addition rapid antigen tests must be taken on days 2, 4, 6, 8, 10, 12 and 14 following arrival. All those arriving in Andorra are advised by Andorran authorities to take extreme preventive measures (personal distance, hands sanitation and wearing mask) and minimize social interactions.<br>
All those arriving from the UK will be required to provide their name and surnames, passport or census number, telephone number, city or region of origin in the United Kingdom, date of arrival in Andorra and date of return (if returning) to the United Kingdom to the Andorran authorities. People returning from the United Kingdom must not enter the Principality of Andorra by public transport. <br>
*International travel: In order to travel from Andorra via France, where travel restrictions are in place from 9pm until 6am, you must <a href=""https://media.interieur.gouv.fr/attestation-couvre-feu-covid-19/"">complete a travel certificate online</a>. You can find further details, including the limited exceptions to curfew in France on the <a href=""https://www.interieur.gouv.fr/"">French government website</a>. In order to travel from Andorra via Spain, where travel restrictions in the Region of Catalonia are in place from 10pm until 6am, you will need to <a href=""https://certificatdes.confinapp.cat/#/"">complete a travel certificate online</a>. You can find further details, including the limited exceptions to curfew in the Spanish Region of Catalonia, <a href=""http://web.gencat.cat/ca/activem/restriccions-territorials/catalunya/#bloc1"">online</a>. Before travelling to France or Spain from Andorra, you should consult the web pages of the relevant <a href=""https://www.govern.ad/coronavirus"">Andorran</a>, <a href=""http://web.gencat.cat/ca/activem/restriccions-territorials/catalunya/#bloc1"">Spanish</a> or <a href=""https://www.interieur.gouv.fr/"">French</a> authorities.<br>
<br>
<br>
Internal Restrictions: <br>
*Travel in Andorra: On 22 September the Andorran authorities published a new set of restrictions including mandatory use of masks in public and social distancing of 1.5m unless specific protocols are in place. Only groups of up to five people are able to meet, including in private spaces. Limits to capacity are in place in shops, restaurants, bars and cafes and you should follow the instructions displayed locally. Similar restrictions are in place in gyms and sports centres. Smoking is not permitted in any public area. You can find more information regarding the measures in place on the <a href=""https://www.govern.ad/coronavirus"">Andorran government website</a> (in Catalan).";20201231;Home isolation is required until COVID test results are received.;"COVID-19 negative certification required for entering the country.<br>

Those looking to travel to Andorra must obtain a negative PCR or TMA test with result performed within a maximum of 48 hours before departure.";9;"
- Travel to Andorra requires a negative PCR or TMA test with result performed within 48 hours before departure.  
- Mandatory use of masks in public and social distancing of 1.5m unless specific protocols are in place.  
- Only groups of up to five people are able to meet, including in private spaces.  
- Limits to capacity are in place in shops, restaurants, bars and cafes.  
- Similar restrictions are in place in gyms and sports centres.  
- Smoking is not permitted in any public area.  
- Home isolation is required until COVID-19 test results are received.  
- COVID-19 negative certification required for entering the country.  
- Mandatory 10-day quarantine for all arrivals from Andorra.";Medium
Angola;AGO;17.577532;-12.337524;13.05.2021;"<a href=""https://www.osac.gov/Content/Browse/Report?subContentTypes=Alerts%2CTravel%20Advisories"">OSAC Travel Advisories</a>/
  <a href=""https://ao.usembassy.gov/covid-19-information/"">US State Dept. COVID-19 Country Specific Information</a>/ 
  <a href=""https://www.gov.uk/foreign-travel-advice/angola"">Foreign travel advice, Gov.UK</a>/
  <a href=""https://governo.gov.ao/ao/"">Ministry of Health</a>/";"Latest News: 
  <br>
  <br>
International Restrictions: <br>
*Entry to Angola: There are a number of indirect commercial flights to Angola from the UK operated by TAP Air Portugal, Lufthansa and Air France. Passengers connecting via Frankfurt are required to show proof of a negative COVID-19 test completed no more than 48 hours before arrival in Germany. <br>
Advance passenger information requirement: All passengers are required to show evidence of a negative COVID-19 test completed 72 hours before travel to Angola.<br>
All passengers are required to <a href=""https://viagem.covid19.gov.ao/en/"">complete an Advance Passenger Information form</a> (FRV form) 72 hours before entry to Angola. Several travel documents must be uploaded in PDF format to be accepted before entry to Angola. <br>
*Testing prior to arrival and departure: From 16 January, all air passengers are required to undergo a rapid COVID-19 test immediately on disembarking the plane. This is currently free of charge, which is undertaken in a hangar at the airport, but can take time. Passengers arriving in Angola, should carry water and a refreshment in case there is a long wait. <br>
Those receiving a negative result will be allowed entry and can continue through immigration. You will need to undertake compulsory self-quarantine for 7 days before undergoing a further COVID-19 test. Those receiving a positive COVID-19 result will go immediately into mandatory quarantine at a government facility for observation and further testing. <br>
All passengers are required to show evidence of negative COVID-19 test completed 24 hours before departure from Angola. <br>
*Quarantine requirements: All air passengers arriving in Angola will need to undertake compulsory self-quarantine for at least 7 days once tested for COVID-19 on arrival. If you test negative, returning residents can quarantine in their own homes. Non-resident essential workers have to quarantine in a government or government-approved facility. The Angolan authorities will release you from quarantine once you have tested negative for coronavirus. You must spend at least 7 days in quarantine before being tested. <br>
If you receive a positive COVID-19 test result on arrival in Angola, you will be required to enter mandatory quarantine in a government facility for observation and further testing. <br>
On arrival, passengers with short-term and visitor visas can expect to have their passports retained by the Angolan authorities at the Immigration desk. Passports can be recovered at the end of the 7 day quarantine period, on presentation of a negative COVID-19 certificate at the SME Department in the Departures lounge. <br>
<br>
<br>
Internal Restrictions: <br>
*Travel in Angola: Travel around the country is permitted, but you should undertake a rapid COVID-19 test. Air passengers can undertake a rapid COVID-19 test at domestic airports. Test documentation will be checked at all provincial borders. Test results are deemed to be valid for 7 days. Passengers travelling for longer than 7 days will need to undertake further tests as necessary, to continue to move around the country.  The Angolan government has declared a “situation of public calamity�? which imposes a number of restrictions and public health measures to limit the spread of the virus: <br>
•        you are encouraged to stay at home; <br>
•        you should work remotely and practise social distancing; <br>
•        face masks are compulsory in all areas outside of your home or hotel room, including in private motor vehicles. Immediate on-the-spot fines will be issued for non-compliance. Restrictions are in place on travel into and out of Luanda province and the neighbouring province of Kwanza Norte. If you travel out of Luanda, you must show evidence of a rapid COVID-19 test or you will be issued with a fine; <br>
•        higher fines will be imposed for breaching a number of restrictions. <br>
*Accommodation: Hotels and private rentals continue to operate with some restrictions and coronavirus precautionary measures in place. You should contact your accommodation provider before booking to confirm what restrictions are in place. <br>
*Public places and services: The majority of shops, banks, restaurants and markets continue to operate, with some restrictions (e.g. reduced opening hours). COVID-19 precautionary measures are in place including capacity limits for public transport and funerals. All beaches, cinemas, gyms and leisure centres are closed.";20210513;"Quarantine requirement at government designated site. <br>

All air passengers arriving in Angola will need to undertake compulsory self-quarantine for at least 10 days once tested for COVID-19 on arrival. If you test negative, returning residents can quarantine in their own homes. Non-resident essential workers have to quarantine in a government or government-approved facility.";"COVID-19 negative certification required for entering the country.<br>

From 16 January, all air passengers are required to undergo a rapid COVID-19 test immediately on disembarking the plane. <br>
All passengers are required to show evidence of a negative COVID-19 test completed 72 hours before entry to Angola and  to undergo a rapid COVID-19 test immediately on disembarking the plane.";10;"
- All air passengers arriving in Angola will need to undertake compulsory self-quarantine for at least 7 days once tested for COVID-19 on arrival.
- If you test negative, returning residents can quarantine in their own homes.
- Non-resident essential workers have to quarantine in a government or government-approved facility.
- Passengers with short-term and visitor visas can expect to have their passports retained by the Angolan authorities at the immigration desk.
- Passengers can recover their passports at the end of the 7-day quarantine period, on presentation of a negative COVID-19 certificate at the SME department in the departures lounge.
- Travel around the country is permitted, but you should undertake a rapid COVID-19 test.
- Air passengers can undertake a rapid COVID-19 test at domestic airports.
- Test documentation will be checked at all provincial borders.
- Test results are deemed to be valid for 7 days.
- Passengers travelling for longer than 7 days will need to undertake further tests as necessary, to continue to move around the country.
- The Angolan government has declared a ""situation of public calamity"" which imposes a number of restrictions and public health measures to limit the spread of the virus.
- You are encouraged to stay at home.
- You should work remotely and practise social distancing.
- Face masks are compulsory in all areas outside of your home or hotel room, including in private motor vehicles.
- Immediate on-the-spot fines will be issued for non-compliance.
- Restrictions are in place on travel into and out of Luanda province and the neighbouring province of Kwanza Norte.
- If you travel out of Luanda, you must show evidence of a rapid COVID-19 test or you will be issued with a fine.
- Higher fines will be imposed for breaching a number of restrictions.
";Medium
