DATE,"COUNTRY 
CODE","TRANSP. 
METHOD",QUANTITY,Country,Code,CONTINENT
2017-01-01,AN,Sea,30604,Andorra,AN,EU
2017-01-01,IN,Air,38710,India,IN,AS
2017-01-01,GE,Air,35007,Germany,GE,EU
2017-01-01,JP,Sea,33518,Japan,JP,AS
2017-01-01,SU,Air,30227,Suriname,SU,AM
2017-01-01,VE,Sea,31626,Venezuela,VE,AM
2017-01-01,PA,Sea,36905,Panama,PA,AM
2017-01-01,VE,Sea,34119,Venezuela,VE,AM
2017-01-01,CH,Air,31343,China,CH,AS
2017-01-01,AL,Air,32107,Albania,AL,EU
2017-01-01,CO,Air,30529,Colombia,CO,AM
2017-01-01,PR,Sea,36295,Puerto Rico,PR,AM
2017-01-01,SE,Air,34488,Serbia,SE,EU
2017-01-01,SP,Air,30948,Spain,SP,EU
2017-01-01,HT,Sea,37791,Haiti,HT,AM
2017-01-01,IT,Air,30094,Italy,IT,EU
2017-01-01,DR,Air,38449,Dominican Republic,DR,AM
2017-01-01,HW,Sea,35657,Hawaii,HW,AM
2017-01-01,HU,Air,38445,Hungary,HU,EU
2017-01-01,AU,Sea,38420,Austria,AU,EU
2017-01-02,HU,Air,31179,Hungary,HU,EU
2017-01-02,IT,Sea,33551,Italy,IT,EU
2017-01-02,PL,Sea,38551,Poland,PL,EU
2017-01-02,JA,Air,37268,Jamaica,JA,AM
2017-01-02,CI,Sea,31917,Cote d'Ivore,CI,AF
2017-01-02,SM,Air,33170,San Marino,SM,EU
2017-01-02,HW,Sea,33155,Hawaii,HW,AM
2017-01-02,VE,Sea,36043,Venezuela,VE,AM
2017-01-02,JP,Sea,36834,Japan,JP,AS
2017-01-02,HO,Air,36078,Honduras,HO,AM
2017-01-02,CU,Air,38505,Cuba,CU,AM
2017-01-02,PO,Sea,30533,Portugal,PO,EU
2017-01-02,GE,Air,30697,Germany,GE,EU
2017-01-02,JP,Sea,34887,Japan,JP,AS
2017-01-02,FR,Sea,36968,France,FR,EU
2017-01-02,SE,Air,37275,Serbia,SE,EU
2017-01-02,PO,Sea,34334,Portugal,PO,EU
2017-01-02,IN,Air,32450,India,IN,AS
2017-01-02,CA,Air,33639,Canada,CA,AM
